NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
     State and Local Gov't, 51 , 58 , 66 , 74 , 84 , 94 , 103 , 111 , 130 , 156 , 183 , 213 , 237 , 248 , 270 , 298 , 321 , 377 , 442 , 469 , 520 , 602 , 680 , 756 , 832 , 951 ," 1,107 "," 1,236 "," 1,379 "," 1,542 "," 1,737 "," 1,874 "," 1,981 "," 2,049 "," 2,177 "," 2,374 "," 2,578 "," 2,733 "," 2,855 "," 3,092 "," 3,360 "," 3,602 "," 3,896 "," 4,216 "," 4,509 "," 4,593 "," 4,774 "," 5,273 "," 5,762 "," 5,902 "," 5,825 "," 5,884 "," 5,820 "," 6,068 "," 6,349 "," 6,439 "," 6,740 "," 7,034 "," 7,342 "
Total Structures and Equipment," 1,814 "," 1,921 "," 2,360 "," 2,458 "," 2,898 "," 3,145 "," 3,230 "," 3,288 "," 3,836 "," 4,902 "," 5,563 "," 6,279 "," 6,950 "," 7,215 "," 7,895 "," 8,805 "," 9,742 "," 10,041 "," 10,847 "," 12,156 "," 14,428 "," 17,033 "," 19,982 "," 21,813 "," 22,269 "," 21,744 "," 21,972 "," 24,209 "," 27,929 "," 30,778 "," 34,645 "," 36,563 "," 40,231 "," 42,384 "," 43,794 "," 44,795 "," 47,012 "," 50,793 "," 53,622 "," 57,399 "," 57,840 "," 58,872 "," 64,753 "," 68,875 "," 72,798 "," 79,406 "," 83,994 "," 95,818 "," 103,728 "," 93,592 "," 93,527 "," 99,606 "," 104,967 "," 107,451 "," 103,741 "," 107,685 "," 109,331 "," 118,221 "," 121,802 "
     Private ," 1,344 "," 1,479 "," 1,885 "," 1,960 "," 2,354 "," 2,528 "," 2,619 "," 2,545 "," 2,971 "," 3,886 "," 4,459 "," 5,024 "," 5,618 "," 5,804 "," 6,144 "," 6,450 "," 7,092 "," 7,418 "," 8,037 "," 9,018 "," 10,701 "," 13,045 "," 15,728 "," 17,272 "," 17,213 "," 16,245 "," 16,072 "," 17,679 "," 20,969 "," 23,057 "," 26,380 "," 27,823 "," 31,133 "," 32,595 "," 34,238 "," 34,822 "," 36,549 "," 39,236 "," 41,538 "," 44,921 "," 44,551 "," 45,201 "," 50,861 "," 54,250 "," 57,841 "," 63,184 "," 67,063 "," 76,514 "," 82,353 "," 71,798 "," 71,508 "," 76,276 "," 81,099 "," 83,593 "," 80,257 "," 84,448 "," 85,662 "," 93,262 "," 95,758 "
     Federal Gov't, 75 , 77.00 , 73 , 86 , 95 , 122 , 104 , 60 , 84 , 130 , 187 , 200 , 235 , 272 , 318 , 455 , 492 , 546 , 659 , 651 , 839 ," 1,037 "," 1,045 "," 1,340 "," 1,620 "," 1,759 "," 1,933 "," 2,183 "," 2,340 "," 2,492 "," 2,528 "," 2,722 "," 2,628 "," 2,953 "," 3,011 "," 3,268 "," 3,717 "," 4,142 "," 4,311 "," 4,655 "," 5,139 "," 5,179 "," 4,651 "," 4,882 "," 4,357 "," 4,456 "," 4,710 "," 5,144 "," 6,056 "," 6,973 "," 7,491 "," 8,007 "," 8,203 "," 7,755 "," 7,807 "," 7,807 "," 7,880 "," 8,243 "," 8,514 "
     State and Local Gov't, 395 , 365 , 401 , 412 , 450 , 495 , 506 , 683 , 781 , 886 , 917 ," 1,056 "," 1,097 "," 1,139 "," 1,432 "," 1,900 "," 2,158 "," 2,076 "," 2,151 "," 2,487 "," 2,888 "," 2,951 "," 3,209 "," 3,201 "," 3,435 "," 3,740 "," 3,967 "," 4,347 "," 4,620 "," 5,229 "," 5,738 "," 6,019 "," 6,470 "," 6,836 "," 6,545 "," 6,704 "," 6,747 "," 7,415 "," 7,772 "," 7,822 "," 8,150 "," 8,492 "," 9,241 "," 9,743 "," 10,601 "," 11,766 "," 12,221 "," 14,161 "," 15,319 "," 14,821 "," 14,528 "," 15,324 "," 15,665 "," 16,103 "," 15,677 "," 15,430 "," 15,788 "," 16,716 "," 17,530 "
     Structures," 1,479 "," 1,544 "," 1,918 "," 1,923 "," 2,340 "," 2,552 "," 2,559 "," 2,521 "," 2,986 "," 3,945 "," 4,524 "," 5,192 "," 5,686 "," 5,649 "," 5,978 "," 6,515 "," 7,071 "," 6,867 "," 6,970 "," 7,432 "," 8,585 "," 9,996 "," 11,567 "," 12,483 "," 12,199 "," 11,226 "," 11,106 "," 12,508 "," 14,438 "," 14,978 "," 17,047 "," 16,802 "," 18,342 "," 19,929 "," 20,837 "," 20,922 "," 21,635 "," 23,153 "," 23,746 "," 25,405 "," 25,374 "," 26,118 "," 29,258 "," 30,947 "," 33,063 "," 36,136 "," 40,735 "," 46,542 "," 51,675 "," 46,879 "," 46,104 "," 47,375 "," 49,485 "," 50,735 "," 49,870 "," 50,048 "," 50,166 "," 55,308 "," 56,855 "
         Private ," 1,066 "," 1,163 "," 1,509 "," 1,505 "," 1,886 "," 2,035 "," 2,079 "," 1,945 "," 2,306 "," 3,177 "," 3,731 "," 4,242 "," 4,730 "," 4,716 "," 4,805 "," 4,831 "," 5,126 "," 4,995 "," 5,092 "," 5,386 "," 6,213 "," 7,580 "," 9,147 "," 10,271 "," 9,914 "," 8,849 "," 8,570 "," 9,668 "," 11,614 "," 12,138 "," 13,800 "," 13,417 "," 14,586 "," 15,862 "," 17,052 "," 16,892 "," 17,471 "," 18,582 "," 19,541 "," 21,581 "," 21,560 "," 22,081 "," 24,271 "," 26,059 "," 27,971 "," 30,465 "," 35,277 "," 39,802 "," 44,584 "," 39,013 "," 38,130 "," 38,574 "," 40,596 "," 41,597 "," 41,788 "," 42,564 "," 42,693 "," 47,559 "," 49,206 "
         Federal Gov't, 72 , 71 , 71 , 85 , 92 , 120 , 103 , 43 , 58 , 67 , 93 , 129 , 116 , 97 , 116 , 218 , 266 , 334 , 382 , 370 , 439 , 570 , 528 , 505 , 595 , 640 , 698 , 829 , 799 , 733 , 832 , 728 , 743 , 925 , 853 , 989 ," 1,156 "," 1,346 "," 1,018 ", 852 , 774 , 723 , 873 , 711 , 659 , 681 , 746 ," 1,014 ", 944 ," 1,763 "," 2,127 "," 2,589 "," 2,620 "," 2,660 "," 2,348 "," 2,239 "," 2,138 "," 2,114 "," 1,845 "
         State and Local Gov't, 341 , 310 , 338 , 333 , 363 , 397 , 377 , 534 , 622 , 701 , 700 , 821 , 840 , 836 ," 1,057 "," 1,466 "," 1,679 "," 1,538 "," 1,496 "," 1,675 "," 1,933 "," 1,845 "," 1,892 "," 1,708 "," 1,690 "," 1,737 "," 1,837 "," 2,011 "," 2,025 "," 2,107 "," 2,415 "," 2,657 "," 3,013 "," 3,142 "," 2,932 "," 3,041 "," 3,008 "," 3,225 "," 3,187 "," 2,972 "," 3,040 "," 3,314 "," 4,114 "," 4,177 "," 4,433 "," 4,990 "," 4,712 "," 5,726 "," 6,147 "," 6,103 "," 5,847 "," 6,212 "," 6,269 "," 6,478 "," 5,734 "," 5,245 "," 5,335 "," 5,635 "," 5,804 "
     Equipment, 334 , 377 , 442 , 535 , 558 , 592 , 671 , 767 , 850 , 957 ," 1,039 "," 1,087 "," 1,264 "," 1,566 "," 1,917 "," 2,290 "," 2,671 "," 3,173 "," 3,877 "," 4,724 "," 5,843 "," 7,037 "," 8,415 "," 9,329 "," 10,070 "," 10,518 "," 10,866 "," 11,701 "," 13,491 "," 15,800 "," 17,598 "," 19,762 "," 21,889 "," 22,455 "," 22,956 "," 23,873 "," 25,377 "," 27,640 "," 29,876 "," 31,994 "," 32,466 "," 32,754 "," 35,495 "," 37,928 "," 39,735 "," 43,270 "," 43,259 "," 49,276 "," 52,053 "," 46,713 "," 47,423 "," 52,232 "," 55,482 "," 56,716 "," 53,871 "," 57,637 "," 59,165 "," 62,913 "," 64,947 "
          Private , 278 , 316 , 376 , 455 , 468 , 493 , 540 , 600 , 665 , 709 , 728 , 782 , 888 ," 1,088 "," 1,339 "," 1,619 "," 1,966 "," 2,423 "," 2,945 "," 3,632 "," 4,488 "," 5,465 "," 6,581 "," 7,001 "," 7,299 "," 7,396 "," 7,502 "," 8,011 "," 9,355 "," 10,919 "," 12,580 "," 14,406 "," 16,547 "," 16,733 "," 17,186 "," 17,930 "," 19,078 "," 20,654 "," 21,997 "," 23,340 "," 22,991 "," 23,120 "," 26,590 "," 28,191 "," 29,870 "," 32,719 "," 31,786 "," 36,712 "," 37,769 "," 32,785 "," 33,378 "," 37,702 "," 40,503 "," 41,996 "," 38,469 "," 41,884 "," 42,970 "," 45,703 "," 46,552 "
          Federal Gov't, 3 , 6 , 2 , 1 , 3 , 2 , 1 , 18 , 26 , 63 , 94 , 71 , 119 , 175 , 202 , 237 , 226 , 212 , 277 , 281 , 400 , 466 , 517 , 835 ," 1,025 "," 1,119 "," 1,234 "," 1,354 "," 1,541 "," 1,759 "," 1,695 "," 1,994 "," 1,885 "," 2,028 "," 2,158 "," 2,280 "," 2,560 "," 2,796 "," 3,293 "," 3,803 "," 4,365 "," 4,456 "," 3,778 "," 4,171 "," 3,698 "," 3,775 "," 3,964 "," 4,130 "," 5,112 "," 5,210 "," 5,364 "," 5,418 "," 5,583 "," 5,095 "," 5,459 "," 5,568 "," 5,742 "," 6,129 "," 6,669 "
          State and Local Gov't, 54 , 55 , 63 , 79 , 87 , 98 , 130 , 149 , 159 , 185 , 217 , 235 , 257 , 303 , 375 , 434 , 479 , 538 , 655 , 812 , 955 ," 1,105 "," 1,317 "," 1,493 "," 1,745 "," 2,003 "," 2,130 "," 2,336 "," 2,595 "," 3,122 "," 3,323 "," 3,362 "," 3,457 "," 3,694 "," 3,613 "," 3,663 "," 3,739 "," 4,190 "," 4,585 "," 4,850 "," 5,110 "," 5,178 "," 5,127 "," 5,566 "," 6,168 "," 6,776 "," 7,509 "," 8,435 "," 9,172 "," 8,718 "," 8,681 "," 9,112 "," 9,396 "," 9,625 "," 9,944 "," 10,185 "," 10,453 "," 11,081 "," 11,726 "
"* Other Federal Programs include OEO, Federal General and Medical, Federal General and Medical NEC, and High Risk Pools under ACA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Other State and Local Programs include State and Local Subsidies and TDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
